text,label,pred,gold_label_name,pred_label_name,error_pair,dataset,manual_error_type,notes
i can ’ t wait to buy a brand new <number> ” bad bitch wig,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
fucking nigger me up the asshole with a hotrod nigga,1,2,offensive,hate,offensive -> hate,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
from a moslem group in the usa who have links to terrorists cheeky rag heads,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
even worse i have read comments defending this vid stating the message is anti violence against all stfu with that noise,1,0,offensive,normal,offensive -> normal,HateXplain,Hate target identification failure,"The text contains a clear group-directed slur or hateful target, but the model failed to recognise it and predicted a less severe label."
deport all illegal aliens european settlers and immigrants built this nation and it belongs to their descendants not ungrateful illegal migrants,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
dems r real racists is as retarded as muslims terrorists are not real muslims,2,1,hate,offensive,hate -> offensive,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
brighton is a ghetto and needs the acts of winnie mandela justice has been pronounced,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
are arabs just a weird mix of niggers and central asians,1,2,offensive,hate,offensive -> hate,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
<user> 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 i hate you,1,0,offensive,normal,offensive -> normal,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> you would think after all the incidents of islamic violence perpetrated against homosexuals that the gay community would cease attempting to build some odd coalition with muslims yet there they are attempting to do so to this day i for one am baffled,1,0,offensive,normal,offensive -> normal,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> words are important af and change with the times we no longer describe people as retarded faggot or even indian it called progress forcing people who want things from government to treat others who also pay taxes respectfully seems ok to me,0,1,normal,offensive,normal -> offensive,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
<user> them boss can i have a few days o boss shut up nigger,0,2,normal,hate,normal -> hate,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
<user> stop pretending your sarcasm over a towel head shot in texas is obvious and disgusting fake thoughts and prayers,0,2,normal,hate,normal -> hate,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
<user> is it on wattpad a bitch is broke to buy it lmao,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
<user> in a world full of super rich bitches surrounded by material things be a super rich bitch surrounded by material things do not get it,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> i wonder if some chickens are gay,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> i fucking hated you when we first met,1,0,offensive,normal,offensive -> normal,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
<user> i fucking hate you my journey home just cost me <money> just because of a bit of rain sort your selfs out you lazy bunch fucktards,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> fuck nazis white knighting for palestinians it is the dumbest most dishonest looking shit none of you care about these sandniggers if you do check yourself no fuck you bethlehem palestinians belong to one of the oldest christian communities in all of christiandom,1,2,offensive,hate,offensive -> hate,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
<user> dead ass ain ’ t rt that tweet cause the caption called it ghetto for no reason,0,1,normal,offensive,normal -> offensive,HateXplain,Missing or ambiguous context,"The sentence is short or context-dependent, so the intended target and meaning are difficult to determine without additional context."
<user> damn eu should have stuck prestinni ’ crying ass on the bench and let simp get retarded on main stage,0,1,normal,offensive,normal -> offensive,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
<user> aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,2,1,hate,offensive,hate -> offensive,HateXplain,Offensive-hate boundary ambiguity,"The text is clearly abusive and group-related, but the boundary between offensive and hate is ambiguous."
<user> <user> 🤔 good luck with that considering its not your place to tell us what to do with our country or our money why bother with education because once you camel jockey have it your way they will not need it human right we will wake them up before you 😘,2,0,hate,normal,hate -> normal,HateXplain,Hate target identification failure,"The text contains a clear group-directed slur or hateful target, but the model failed to recognise it and predicted a less severe label."
<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,2,0,hate,normal,hate -> normal,HateXplain,Hate target identification failure,"The text contains a clear group-directed slur or hateful target, but the model failed to recognise it and predicted a less severe label."
<user> <user> well for one they follow lucifer not a god islam is the problem,1,0,offensive,normal,offensive -> normal,HateXplain,Hate target identification failure,"The text contains a clear group-directed slur or hateful target, but the model failed to recognise it and predicted a less severe label."
<user> <user> rue <number> is the ghetto,0,1,normal,offensive,normal -> offensive,HateXplain,Profanity/slang used non-hatefully,"The text contains profanity or slang, but it is mainly used as emotional emphasis or casual insult rather than hate speech."
<user> <user> <user> <user> is ghana one of the shithole countries <user> was referring to a shithole country does a better job of providing for its citizens than the us does,0,1,normal,offensive,normal -> offensive,HateXplain,Quoted/counter-speech/reclaimed usage,"The text contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
