text,label,pred,gold_label_name,pred_label_name,error_pair,dataset,manual_error_type,notes
In Mexico & CanadaONLY NATIVE BORN CITIZENS ARE ALLOWED TO VOTE IN THEIR ELECTIONS & EXCLUDES NATURALIZED CITIZENS!We should do the same in U.S.A.#RETWEET#RESIST#ThursdayThoughts #TrumpKnew Help #BuildThatWall @ #EndDACA#TheFive ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user I'm sure glad I didn't just call fence jumpers #IllegalAliens ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user @user @user Still think Canada should build a giant ice wall. If Trump builds a southern boarder wall then they'll all be contained. #BuildThatWall ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"If you have a bitch, don't text me. Don't try to flirt with me. Respect your hoe. I should not have to be the one defending this thot. ",0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
i gotcha man thats all i gotta say everybody know you a hoe anyway bitch recognize i got these thick thighs ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
✨🌈: wasupppp dyke😂 I love you daddy lmaooo you my bitch and you cute and gay asffff smoke one before school hoe ! ,0,2,normal,hate,normal -> hate,TweetEval,Quoted/counter-speech/reclaimed usage,"The tweet contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
@user @user @user Amen #OneNationUnderGod #ToGodBeTheGlory#WWG1WGA#BlueLivesMatter #WalkAway#PatriotsUnited #AmericaFirst #BuildThatWall #BestPresidentEver#SaveTheChildren@POTUS@FLOTUS @user @user @user Choose Life ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user @user All glory to a pair of con artists who spent eight years working for their Billionaire Buddies. #WalkAwayMarch #NRA #ICE #BuildThatWall #Veterans ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
The Sheriff needs all of the help he can get! #Trump #IllegalAliens ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
Get it right bitch . im wife hoe . and nun of you broke bitches cant replace me . ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
"YASS Queen, keep blessing us! Shoe game on psychotic bitch    @user ",0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
HOE MY GOOOODDD YESSSSS BITCH !!!! Wow you're so beautiful 💞😍😍💞😍 how can someone be so hotttt 😋😋😋 ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
Kick off ya shoes & relax ya fuckin feet bitch ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
"@user The swamp yeah lol ""You from Baltimore bitch"" ",0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
im a bitch and have sick sense of humor so no one likes me but i'm just like whatevs boo you whore ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
#buildThatWall#lockHerUp#RedWaveRising #Trump2024#MAGA#MACA(Christian Again)#CharlottesvilleGoodPeople ,0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
"Unfortunately not ALL #Republicans -- not @user , questionable w/ @user With ""leaders"" like those, it is like having 3 #Pelosi #FundTheWall#BuildThatWall ",0,2,normal,hate,normal -> hate,TweetEval,Political hashtag or slogan bias,"Contains political hashtags or anti-immigration/religion cues, which likely triggered a toxic prediction, but the text does not explicitly express hate toward a protected group."
@user ur vids are great but learn to not be an asshole off camera bitch ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user Bitch yk I don't eat pussy fuck hoe ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
You & yo bitch some ratchet Bonnie & Clyde hoe ,0,2,normal,hate,normal -> hate,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
@user @user @user knows her audience & how nave & ignorant they are; that they will believe anything regardless how ridiculous. These politicians have NO RESPECT for their constituency.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BuildTheWall ,0,2,normal,hate,normal -> hate,TweetEval,Quoted/counter-speech/reclaimed usage,"The tweet contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
"@user Harp, chem trails they control the weather n other uses,if ur weather sucks complain #Stopthechemtrains #MAGA #TRUMP 2020 #BUILDTHATWALL ",0,2,normal,hate,normal -> hate,TweetEval,Quoted/counter-speech/reclaimed usage,"The tweet contains sensitive language in a quoted, discussed, or reclaimed form rather than direct hateful intent."
@user Yes bitch lets go ,2,1,hate,offensive,hate -> offensive,TweetEval,Profanity/slang used non-hatefully,"Contains profanity or slang, but it is used as casual banter, self-expression, or emotional emphasis rather than hate speech."
Whoever just unfollowed me you a bitch ,2,0,hate,normal,hate -> normal,TweetEval,Offensive-hate boundary ambiguity,"The text is clearly abusive, but the target group and hateful intent are not explicit, making the boundary between offensive and hate ambiguous."
